+1	﻿+1	﻿+1	﻿+1	﻿+1	﻿+1	Sjajna mi je scena kad se Odin naljuti i pošalje Tora na zemlju. Fantastično!
+1	+1	+1	+1	+1	+1	čista 10! Odličan film. Obavezno pogledati
+1	+1	+1	+1	+1	+1	najbolji tarantinov film plus sjajan soundtrack. nema bolje preporuke.
-Ms	+1	+1s	+1	+1	+1	da je ovo dobar film govori i sama činjenica da se snima drugi deo, a još će da igra i Asante, pa ti vidi jel razvučen i dosadan :p
-M	-M	-M	-M	+M	-M	Nije loš film, ali je brate previše razvučen. Nema potrebe da traje ni 2h, a kamoli 2h 20min..
+1	+M	+1	+1	+1	+1	Super film o pozitivnom duhu našeg naroda. Bez velike vulgarnosti i nasilja kakve smo navikli da gledamo u domaćim filmovima.
+M	+M	+M	+M	+1	+1	Simpatičan film. Mislim da zaslužuje veću ocenu od šestice. Jedan od boljih Sendlerovih i Dženiferinih filmova. Njih dvoje su se dobro uklopili i pokazali da nije sve u nogama i lepoti mladih devojaka.
-1	-1	-1	-1	-1	-1	ma bezveze je film. pojma nemaš!
+1	+1	+1	+1	+1	+1	Pravi film za nedeljno poslepodne. Ja sam uživala. Adam Sandler uvek dobar :)
-M	-M	-M	-M	-M	-1	Očekivao sam mnogo više od ovoga. Denzel je cool kao i uvek ali ipak nedovoljno da izvuče film.
-1	-1	-1	-1	-1	-1	Koji smor od filma. Sve je mnogo usporeno a posebno je nelogično ponašanje glavnog lika pogotovo na samom kraju filma. Neki će verovatno reći da je to umetnost ali za mene nije...
-1	-1	-1	-1	-1	-1	trt
-M	-M	-M	-M	-M	-M	Ništa posebno, čak pomalo i dosadno. Jedina pohvala za pokušaj da se film učini realnijim pažljivim odabirom glumaca.
+1	+M	+M	+1	+1	+M	Prosečan film, ništa novo ali simpatično i može se pogledati. Ako razmišljate šta bi gledali sa boljom polovinom ovo bi mogao biti izbor :).
-1	-1	-1	-1	-1	-1	Originalna verzija je bila mnogo bolja. Već posle 15 minuta počinje smaranje. Ništa se ne događa u filmu, samo dosadni dijalozi ...
-1	-1	-1	-1	-1	-M	uff… pa nije mi nešto.. par šala, ali sve u svemu dosadan film sa slabom pričom.
+M	+M	+M	+M	+1	+1	Strašno je da se u Srbiji još uvek sve ovo dešava. Film je dobar, duhovit i malo podseća na Gaj Ričijev stil.
+1	+1	+1	+1	+1	+1	Predobar ! Nije bilo teško provaliti ubicu :D
+1	+1	+1	+1	+1	+1	Nema šta španci znaju da naprave zanimljiv film. Konačno neki film da zahteva malo i mozga
+M	+M	-M	+M	+1	+1	haha..samo jedan zadatak sam uspeo da rešim..ludilo, bre
+1	+1	+1	+1	+1	+1	Odličan film!
-M	-NS	-M	+NS	+NS	+M	Meni je bilo muka dok sam gledao film u 3D :D, ali ok.. može da se gleda i 2D :D
+1	+1	+1	+1	+1	+1	Simpatičan filmić. Gledala sam ga u 3D i zaista vredi pogledati. Super za nedeljno poslepodne ;)
-M	-M	-1	-M	+M	+1	Kakva je ovo lista? Ovo je jedan od najboljih filmova svih vremena, a ovde ima ocenu 6,6.
+1	+1	+1	+1	+1	+1	Jedan od najjačih filmova ikada
+1	+1	+1	+1	+1	+1	Vrh! Ne znam šta bih još dodao
+1	+1	+M	+1	+M	+1	Dobar… DiCaprio je jednom priznao da nije baš ni razumeo u potpunosti o čemu se radi u filmu :).
+1	+1	+1	+1	+1	+1	Zajedno sa mementom najbolji Nolanov film. Odličan izbor
+1	+1	+1	+1	+1	+1	Ja sam morao dva puta da gledam film da bih sve pohvatao. Svaka čast za izbor :)
+1	+1	+1	+1	+1	+1	Ovo je film za ljude koji vole da angažuju mozak dok gledaju film. Odličan film
-1	-1	-1	-1	-1	-1	Ovo je čisto gubljenje vremena. Debilan humor. Žali bože utrošenih 2 sata vremena
+1	+1	+1	+1	+1	+1	Ovaj me je prijatno iznenadio. Film o supermoćima i kako utiču na ljude. Nešto malo drugačije od onog na šta smo navikli u filmovima o superherojima.
