+NS	+NS	﻿+NS	﻿+NS	﻿+1	﻿+1	Хтео бих да купим ову књигу
-M	+M	-M	-M	+M	+M	svaka čast izdavaču za ovo ali trebaju novi dizajn naslovnica pod hitno
+NS	+NS	+NS	+NS	+NS	+NS	Knjige od mahlera Tajna dore lind.
-1	-1	-1	-1	-NS	-1	Autorke ? NENENENENEN
-NS	-NS	-1	-1	-NS	-1	Da li je ovo tekst o knjizi "PR" Aleksandra Ilića ili o knjizi "Beograđanke" Igora Marojevića? :/
-NS	-NS	-1	-NS	-NS	-NS	da li mi se to samo tako čini, ili je vest o promociji koja se desila 19. maja - na sajt okačena nedelju dana kasnije, 25, maja? :)
-1	-1	-NS	-M	-NS	-1	R.I.P. Gabriel
+NS	+NS	+NS	+NS	+NS	+NS	Gde i kako možemo naručiti ili kupiti Enciklopediju Rok Muzike u Vojvodini
+NS	+NS	+NS	+NS	+NS	+NS	Da li u nekoj od radnji 'Trafika' u Bg-u ima da se kupi ova knjiga. Ako neko zna neka mi napiše ovde na kojoj adresi. Hvala!
+NS	+NS	+NS	+NS	+NS	+NS	da li postoji tolkinova knjga koja može da se čita preko interneta npr gospodar prstenova, ali cela??
-1s	-1s	-1s	-1s	-1	-1	koji genijalni prevodilac je preveo naslov knjige "Fifty shades of grey" kao "Pedeset nijansi: siva" umesto "Pedeset nijansi sive" ?@_!
+NS	-NS	+NS	+NS	-NS	+NS	šta radiš
-1	-1	-1	-1	-1	-1	Bedno… nimalo vredno… sex, sex i samo sex… jadno!!!
+M	+M	-M	+M	-M	+1	naslov je odlično preveden, samo što ti ne vidiš. Pedeset nijansi Siva (osoba)
+NS	+NS	+NS	+NS	-NS	+NS	Da li je neko pogledao web prezentaciju ove izdavačke kuće? Obzirom da im je sadržaj kreativno-kontroverzan i umnogome drugačiji od ostalih izdavačkih kuća, interesuje me da li postoje još neke aktivnosti koje ova firma sprovodi? pozdrav
+1	+1	+1	+1	+1	+1	sad dolazim sa sajta i veoma je zanimljiv. potražiću knjigu BLJUC! istog autora.
+1	+1	+1	+1	+1	+1	Knjiga je fenomenalna, preporučujem je svakom, lako se čita i veoma je poučna
-1	-1	-1	-NS	-1	-NS	Da li je moguće da je autorovo prezime kod nas shvaćeno kao Palahnjuk? Čita se Polanik... chuckpalahniuk.net/discuss/how-pronounce-palahniuk
+1	+1	+1	+1	+1	+1	Izdavačka kuća System comics je objavila domaći strip Konstantinovo raskršće za koje je sam autor napisao scenario, odnosno preradio sopstvenu knjigu. Sjajna stvar! Može se kupiti u svim bolje opremljenim knjižarama.
+1	+1	+1	+1	+1	+1	car
+1	+1	+1	+1	+1	+1	bila sam tamo, svaki put uzmem po koju knjigu, ima dosta dobrih knjiga. Želela bih da nađem neku knjigu za svoj uzrast, koja govori o ljubavi, i o tome kako osvojiti njegovo srce. Mislim da je to prikladna knjiga za mene jer imam 12 godina. Super ste, sve pohvale :D :) :*
+NS	+NS	+NS	+NS	+NS	-NS	Kad će u beogradu?
+NS	-NS	-NS	-NS	+NS	-NS	knjigu ne mogu nigde da nađem da kupim, gde je zapravo ima, ako je ima u prodaji, na relaciji Pančevo-Beograd.
-1	-1	-1	-1	-1	-1	Ako je neki čovek neka dođe da odgovara za svoj zločin, a ne da se krije kao miš i da daje primer drugima (UBICO).
-1	-M	-1	-1	-1	-NS	pročitajte knjigu i sve će vam biti jasno ... banana republika, a normalan čovek zbog pogrešnih reči na pogrešnom mestu zauvek izgubi svoj zivot
